A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	0	1	#	0	0	0.0962850076067181	0.6261980830670927	2	139.83508955081683	4995	2	0.5	3753.096493150428	392	626
#	0	#	#	0	#	0	0.2369887026080994	0.7498001598721024	11	141.3676725747388	4996	4	0.3333333333333333	44519.2915734778	938	1251
#	#	#	1	0	#	1	0.03137530056089729	0.500400320256205	1	139.86690724060438	4962	5	0.3333333333333333	2834.052104117204	625	1249
#	#	#	1	1	#	1	0.23762151614310076	0.7502001601281025	7	140.4103248565686	4999	7	0.3333333333333333	19311.64632661021	937	1249
0	#	#	0	1	#	0	0.23667052247664122	0.7495987158908507	2	139.4863020872852	4968	11	0.5	278.9726041745704	467	623
1	1	0	#	#	0	0	1.0	1.0	7	164.42864445605434	4994	23	0.6666666666666666	1151.0005111923804	312	312
#	#	#	0	#	1	0	0.0317564724244875	0.501610305958132	1	141.21852978846087	4968	25	0.3333333333333333	2824.3409463133216	623	1242
1	#	#	1	1	#	1	0.23666642889327236	0.7495961227786753	5	146.00863410395147	4961	33	0.5	9964.468358742342	464	619
0	0	0	1	1	#	0	1.0	1.0	3	129.52096251991546	4995	42	0.8333333333333334	388.5628875597464	156	156
1	#	0	#	#	0	0	0.23666642889327236	0.7495961227786753	8	151.9865173910265	4994	48	0.5	26553.4296868735	464	619
#	1	0	1	#	0	0	0.031758946941950465	0.5016181229773463	1	131.75674035328657	4994	48	0.6666666666666666	2680.2727527326238	155	309
#	#	#	0	#	0	0	0.23539403168816067	0.7487883683360258	4	142.0413471190053	4973	52	0.3333333333333333	6237.514397646762	927	1238
0	#	1	#	#	#	1	0.2389076584820299	0.7510105092966856	5	136.86064623794442	4999	57	0.3333333333333333	9331.414674079793	929	1237
1	#	0	1	#	0	0	0.2373046875	0.75	2	154.47949617562293	4994	66	0.6666666666666666	308.95899235124585	231	308
#	#	0	#	#	0	0	0.23762562968663628	0.7502027575020276	3	144.4060097278476	4995	66	0.3333333333333333	433.21802918354274	925	1233
1	0	#	#	0	#	0	1.0	1.0	29	139.44053435708642	4996	68	0.5	75763.01993215167	616	616
#	#	1	#	0	#	1	0.03125	0.5	2	135.4841553198818	4945	69	0.3333333333333333	10927.478245119602	616	1232
0	#	#	1	#	#	1	0.23762562968663628	0.7502027575020276	7	138.29824759934945	4999	69	0.3333333333333333	18688.683069043975	925	1233
#	#	#	0	1	#	0	0.031123276728280882	0.49959382615759546	1	141.96458515025088	4973	74	0.3333333333333333	2946.9105034722097	615	1231
0	#	#	0	#	1	0	0.2385957872120037	0.750814332247557	4	134.9017595545885	4968	85	0.5	5663.789291748693	461	614
0	#	0	0	#	1	0	1.0	1.0	5	142.05082253326842	4968	104	0.6666666666666666	696.5676408329275	306	306
#	1	#	1	0	#	1	0.23860427194515973	0.7508196721311475	6	138.29379998242524	4962	114	0.5	13480.290123278855	458	610
0	#	1	#	1	#	1	0.23860427194515973	0.7508196721311475	4	141.30130604849734	4999	121	0.5	6336.995783327475	458	610
0	#	1	0	#	#	1	0.031765665426185655	0.5016393442622951	2	125.73595293515633	4945	121	0.5	10229.01357132348	306	610
#	#	#	1	#	#	1	0.0948210490383616	0.6242821985233798	2	137.47301804362627	4999	124	0.16666666666666666	3787.1115278779034	1522	2438
#	#	#	0	1	0	0	0.095367431640625	0.625	2	142.24830688938815	4973	129	0.5	3854.5994380451275	380	608
0	#	#	0	#	#	0	0.2376298514516035	0.7502054231717338	7	140.79123702832192	4968	129	0.3333333333333333	18374.650104972334	913	1217
0	0	1	1	#	#	1	1.0	1.0	11	170.9087281868562	4974	133	0.6666666666666666	1934.7450125692726	304	304
